"ID","time","lon","lat","ID_old","centre_lon","centre_lat","d2c"
"4182444-1",2011-12-17 06:43:29,-5.479710669,-57.82509602,4182444,3.048437314,-69.95912459,1.4127709750839
"4182444-1",2011-12-17 07:13:29,-5.46006771,-57.81984051,4182444,3.048437314,-69.95912459,1.41306991480498
"4182444-1",2011-12-17 07:43:29,-5.476870189,-57.83076834,4182444,3.048437314,-69.95912459,1.41211730118138
"4182444-1",2011-12-17 08:13:29,-5.459132476,-57.85048914,4182444,3.048437314,-69.95912459,1.40973640837307
"4182444-1",2011-12-17 08:43:29,-5.433914395,-57.85387873,4182444,3.048437314,-69.95912459,1.40902230563082
"4182444-1",2011-12-17 09:13:29,-5.415348667,-57.84987114,4182444,3.048437314,-69.95912459,1.40920181937357
"4182444-1",2011-12-17 09:43:29,-5.397446877,-57.84586304,4182444,3.048437314,-69.95912459,1.409391082938
"4182444-1",2011-12-17 10:13:29,-5.37866789,-57.84207247,4182444,3.048437314,-69.95912459,1.40954536998327
"4182444-1",2011-12-17 10:43:29,-5.337316203,-57.9163046,4182444,3.048437314,-69.95912459,1.4009350794685
"4182444-1",2011-12-17 11:13:29,-5.290313505,-57.96566889,4182444,3.048437314,-69.95912459,1.39494427558264
"4182444-1",2011-12-17 11:43:29,-5.276828565,-57.96596344,4182444,3.048437314,-69.95912459,1.39472911711185
"4182444-1",2011-12-17 12:13:29,-5.269935331,-57.9625866,4182444,3.048437314,-69.95912459,1.39500165131812
"4182444-1",2011-12-17 12:43:29,-5.261339764,-57.95793518,4182444,3.048437314,-69.95912459,1.39538941435418
"4182444-1",2011-12-17 13:13:29,-5.253473586,-57.95253314,4182444,3.048437314,-69.95912459,1.39586861000752
"4182444-1",2011-12-17 13:43:29,-5.246178207,-57.9473215,4182444,3.048437314,-69.95912459,1.39633503710717
"4182444-1",2011-12-17 14:13:29,-5.238883452,-57.94215552,4182444,3.048437314,-69.95912459,1.39679666228184
"4182444-1",2011-12-17 14:43:29,-5.232523338,-57.93692565,4182444,3.048437314,-69.95912459,1.39727796680033
"4182444-1",2011-12-17 15:13:29,-5.244659546,-57.93147038,4182444,3.048437314,-69.95912459,1.39803340971447
"4182444-1",2011-12-17 15:43:29,-5.244286444,-57.92502808,4182444,3.048437314,-69.95912459,1.39872700925464
"4182444-1",2011-12-17 16:13:29,-5.238540964,-57.92079247,4182444,3.048437314,-69.95912459,1.39910881555117
"4182444-1",2011-12-17 16:43:29,-5.23456614,-57.91190683,4182444,3.048437314,-69.95912459,1.40001891392784
"4182444-1",2011-12-17 17:13:29,-5.240372592,-57.89713771,4182444,3.048437314,-69.95912459,1.4016990416447
"4182444-1",2011-12-17 17:43:29,-5.247486429,-57.89477446,4182444,3.048437314,-69.95912459,1.40205127369298
"4182444-1",2011-12-17 18:13:29,-5.254323983,-57.89539833,4182444,3.048437314,-69.95912459,1.40207586773935
"4182444-1",2011-12-17 18:43:29,-5.299396087,-57.90198753,4182444,3.048437314,-69.95912459,1.40197133751892
"4182444-1",2011-12-17 19:13:29,-5.309682708,-57.89358274,4182444,3.048437314,-69.95912459,1.40302221084011
"4182444-1",2011-12-17 19:43:29,-5.324794169,-57.85998622,4182444,3.048437314,-69.95912459,1.40686995625463
"4182444-1",2011-12-17 20:13:29,-5.37932755,-57.8021673,4182444,3.048437314,-69.95912459,1.41388024018398
"4182444-1",2011-12-17 20:43:29,-5.278789394,-57.72008695,4182444,3.048437314,-69.95912459,1.4214234495932
"4182444-1",2011-12-17 21:13:29,-5.213251836,-57.63475582,4182444,3.048437314,-69.95912459,1.42981155200167
"4182444-1",2011-12-17 21:43:29,-5.226717116,-57.62103855,4182444,3.048437314,-69.95912459,1.43147983845805
"4182444-1",2011-12-17 22:13:29,-5.21089014,-57.64634562,4182444,3.048437314,-69.95912459,1.42852170442297
"4182444-1",2011-12-17 22:43:29,-5.179073366,-57.66606917,4182444,3.048437314,-69.95912459,1.4259581020234
"4182444-1",2011-12-17 23:13:29,-5.117989162,-57.72745293,4182444,3.048437314,-69.95912459,1.41848441554622
"4182444-1",2011-12-17 23:43:29,-4.958804716,-57.82909332,4182444,3.048437314,-69.95912459,1.40535660007897
"4182444-1",2011-12-18 00:13:29,-4.862111342,-57.90463934,4182444,3.048437314,-69.95912459,1.39589209926757
"4182444-1",2011-12-18 00:43:29,-4.96830912,-57.9127727,4182444,3.048437314,-69.95912459,1.3963888057256
"4182444-1",2011-12-18 01:13:29,-5.048221189,-57.89295495,4182444,3.048437314,-69.95912459,1.39959087659818
"4182444-1",2011-12-18 01:43:29,-5.036011356,-57.92817577,4182444,3.048437314,-69.95912459,1.3956053896967
"4182444-1",2011-12-18 02:13:29,-4.9551051,-57.97495225,4182444,3.048437314,-69.95912459,1.38946187181426
"4182444-1",2011-12-18 02:43:29,-4.861905336,-58.01712467,4182444,3.048437314,-69.95912459,1.38366467182059
"4182444-1",2011-12-18 03:13:29,-4.869983375,-58.02162955,4182444,3.048437314,-69.95912459,1.38328018760844
"4182444-1",2011-12-18 03:43:29,-4.868610868,-58.02537207,4182444,3.048437314,-69.95912459,1.38285572034911
"4182444-1",2011-12-18 04:13:29,-4.863015429,-58.02941884,4182444,3.048437314,-69.95912459,1.38234329588615
"4182444-1",2011-12-18 04:43:29,-4.849662997,-58.04483968,4182444,3.048437314,-69.95912459,1.38049431451554
"4182444-1",2011-12-18 05:13:29,-4.837230677,-58.04510952,4182444,3.048437314,-69.95912459,1.38030364305963
"4182444-1",2011-12-18 05:43:29,-4.822904742,-58.07244783,4182444,3.048437314,-69.95912459,1.37714731500355
"4182444-1",2011-12-18 06:13:29,-4.814023207,-58.07477369,4182444,3.048437314,-69.95912459,1.37677948970895
"4182444-1",2011-12-18 06:43:29,-4.807218602,-58.07377401,4182444,3.048437314,-69.95912459,1.37680001781272
"4182444-1",2011-12-18 07:13:29,-4.800337696,-58.07266465,4182444,3.048437314,-69.95912459,1.37683155792639
"4182444-1",2011-12-18 07:43:29,-4.793871768,-58.07117134,4182444,3.048437314,-69.95912459,1.37691026846988
"4182444-1",2011-12-18 08:13:29,-4.789016869,-58.0694295,4182444,3.048437314,-69.95912459,1.37703686562484
"4182444-1",2011-12-18 08:43:29,-4.785020588,-58.06795231,4182444,3.048437314,-69.95912459,1.37714582667593
"4182444-1",2011-12-18 09:13:29,-4.781209708,-58.06695901,4182444,3.048437314,-69.95912459,1.37720461888064
"4182444-1",2011-12-18 09:43:29,-4.776810955,-58.06627664,4182444,3.048437314,-69.95912459,1.37722206478243
"4182444-1",2011-12-18 10:13:29,-4.772818323,-58.06557634,4182444,3.048437314,-69.95912459,1.37724672553364
"4182444-1",2011-12-18 10:43:29,-4.77038212,-58.06442526,4182444,3.048437314,-69.95912459,1.37734045751561
"4182444-1",2011-12-18 11:13:29,-4.768081291,-58.06227722,4182444,3.048437314,-69.95912459,1.37754431277957
"4182444-1",2011-12-18 11:43:29,-4.76736899,-58.06163497,4182444,3.048437314,-69.95912459,1.3776049536229
"4182444-1",2011-12-18 12:13:29,-4.75834594,-58.06638092,4182444,3.048437314,-69.95912459,1.37697295477126
"4182444-1",2011-12-18 12:43:29,-4.753149575,-58.07460476,4182444,3.048437314,-69.95912459,1.37601216995655
"4182444-1",2011-12-18 13:13:29,-4.751084953,-58.07394395,4182444,3.048437314,-69.95912459,1.37605745378105
"4182444-1",2011-12-18 13:43:29,-4.749345407,-58.07325427,4182444,3.048437314,-69.95912459,1.37611006271662
"4182444-1",2011-12-18 14:13:29,-4.747834571,-58.07268565,4182444,3.048437314,-69.95912459,1.37615245709482
"4182444-1",2011-12-18 14:43:29,-4.746110216,-58.0723019,4182444,3.048437314,-69.95912459,1.37617201600525
"4182444-1",2011-12-18 15:13:29,-4.744881994,-58.06999826,4182444,3.048437314,-69.95912459,1.37640666303179
"4182444-1",2011-12-18 15:43:29,-4.758404393,-58.05629707,4182444,3.048437314,-69.95912459,1.37806986461205
"4182444-1",2011-12-18 16:13:29,-4.762883284,-58.05008148,4182444,3.048437314,-69.95912459,1.37880312770703
"4182444-1",2011-12-18 16:43:29,-4.75981554,-58.04919978,4182444,3.048437314,-69.95912459,1.37885953302846
"4182444-1",2011-12-18 17:13:29,-4.7552546,-58.04528426,4182444,3.048437314,-69.95912459,1.3792265850514
"4182444-1",2011-12-18 17:43:29,-4.752533647,-58.04408559,4182444,3.048437314,-69.95912459,1.37932195343727
"4182444-1",2011-12-18 18:13:29,-4.752242357,-58.03890921,4182444,3.048437314,-69.95912459,1.37988096984446
"4182444-1",2011-12-18 18:43:29,-4.750302086,-58.03470811,4182444,3.048437314,-69.95912459,1.38031280771092
"4182444-1",2011-12-18 19:13:29,-4.771028434,-58.01393368,4182444,3.048437314,-69.95912459,1.38283747799169
"4182444-1",2011-12-18 19:43:29,-4.782932984,-58.00927292,4182444,3.048437314,-69.95912459,1.38349721018939
"4182444-1",2011-12-18 20:13:29,-4.78451489,-58.00535279,4182444,3.048437314,-69.95912459,1.38394371651406
"4182444-1",2011-12-18 20:43:29,-4.827730069,-57.98969602,4182444,3.048437314,-69.95912459,1.38620271100029
"4182444-1",2011-12-18 21:13:29,-4.83941558,-57.97991143,4182444,3.048437314,-69.95912459,1.38741720542511
"4182444-1",2011-12-18 21:43:29,-4.649109397,-58.0262672,4182444,3.048437314,-69.95912459,1.37994047137413
"4182444-1",2011-12-18 22:13:29,-4.585091717,-58.04937506,4182444,3.048437314,-69.95912459,1.37661771609172
"4182444-1",2011-12-18 22:43:29,-4.585819679,-58.04505797,4182444,3.048437314,-69.95912459,1.37709666300475
"4182444-1",2011-12-18 23:13:29,-4.58008472,-58.038665,4182444,3.048437314,-69.95912459,1.37772021728364
"4182444-1",2011-12-18 23:43:29,-4.575963157,-58.03240307,4182444,3.048437314,-69.95912459,1.37834989063987
"4182444-1",2011-12-19 00:13:29,-4.58204717,-58.02422324,4182444,3.048437314,-69.95912459,1.37931655988659
